name,year,author,type,genres
Соловьиный сад,1915,Blok,poems,"Symbolism, Romanticism 
"
Двенадцать,1918,Blok,poems,"symbolism, modernism, drama"
Скифы,1918,Blok,poems,"romanticism, symbolism, modernism 
"
Возмездие,1921,Blok,poems,"**Symbolism, Modernism, Drama** 

Here's why:

* **Symbolism:** The text is heavily reliant on symbols and imagery to convey its meaning. Examples include the hawk, the ""demon"" figure, the mazurka dance, and the city of Warsaw. These symbols carry deeper significance beyond their literal representation.
* **Modernism:** The poem grapples with themes of disillusionment, societal change, and the anxieties of the early 20th century. The fragmented narrative, focus on psychological introspection, and questioning of traditional values are hallmarks of modernist literature. 
* **Drama:**  While the text is a poem, it possesses strong dramatic elements. There's a clear narrative arc, developed characters, and scenes with dialogue that resemble stage directions, suggesting a dramatic presentation.

**Why the other genres are less fitting:**

* **Realism:** The poem focuses more on abstract ideas and psychological states than on realistic depictions of everyday life.
* **Romanticism:** While there's some emotional intensity, the poem lacks the idealism and focus on nature typical of Romanticism. 
* **Gothic:** The poem doesn't utilize the eerie atmospheres, supernatural elements, or focus on horror characteristic of the Gothic genre. 
* **Satire:** While Blok critiques certain aspects of society, the overall tone is more melancholic and introspective than satirical.
* **Romance:**  While there's a love story element, it's not the central focus and lacks the idealized conventions of the romance genre.
* **Mystery:** There's no central mystery driving the plot.
* **Naturalism:** The poem is more concerned with internal struggles and societal forces than with the detailed, objective observation of the natural world. 
"
19 октября,1825,Pushkin,poems,"The genres that best describe the text are: **romanticism, drama**. 

Here's why:

* **Romanticism:** The poem is filled with strong emotions,  a focus on nature (the falling leaves, the fire), nostalgia for the past (memories of friends and school days), and themes of friendship, solitude, and longing. These are all hallmarks of Romanticism.
* **Drama:** The poem has a strong narrative element, telling the story of the speaker's isolation and yearning for his friends. It features emotional tension and conflict (the speaker's exile, the absence of his friends), creating a dramatic effect. 

While elements of realism (the description of the setting) and symbolism (the use of the seasons) can be found, romanticism and drama are the most prominent genres shaping the poem. 
"
Анчар,1828,Pushkin,poems,"**Romanticism, Symbolism** 

Here's why:

* **Romanticism:** The poem emphasizes strong emotions (fear, awe), the power of nature, and exotic settings (the desert). There's also a focus on the individual's struggle against powerful forces (the slave against the ruler, humanity against the deadly tree).
* **Symbolism:** The ""Anchar"" tree is more than just a poisonous plant; it becomes a symbol of death, tyranny, and the destructive potential of unchecked power. The poem uses imagery and metaphor to create this deeper layer of meaning.

Let's address why the other genres are less fitting:

* **Realism:**  While the poem uses vivid descriptions, its focus on a fantastical poisonous tree makes it less grounded in realistic portrayals of everyday life.
* **Modernism:** Modernism tends towards fragmentation, stream-of-consciousness, and a questioning of traditional values. Pushkin's poem is more aligned with earlier Romantic ideals.
* **Gothic:** While there are elements of death and dread, the poem lacks the supernatural or macabre elements typical of Gothic literature. 
* **Satire:** There's an implicit critique of tyrannical power, but it's not the poem's primary focus.
* **Romance:** This refers to tales of chivalry and courtly love, which are absent from the poem.
* **Drama:** While there's a narrative, it's presented in poetic form rather than as a play with dialogue and characters meant for performance.
* **Mystery:** There's no central puzzle or question that needs solving.
* **Naturalism:** Naturalism emphasizes the deterministic forces of nature and society on individuals, while the poem focuses more on symbolic meaning. 
"
Борис Годунов,1824,Pushkin,poems,"drama, romance 
"
Во глубине сибирских руд...,1827,Pushkin,poems,"**Romanticism, Naturalism** 

Here's why:

* **Romanticism:** The poem emphasizes themes of hope, freedom, and the power of the human spirit in the face of adversity. The idealized image of ""love and friendship"" reaching the prisoners, along with the powerful imagery of ""heavy chains"" falling and ""dungeons crumbling"" are hallmarks of Romantic literature.
* **Naturalism:** The poem depicts the harsh reality of imprisonment in ""the depths of Siberian mines."" This focus on the brutal conditions and the prisoners' struggle for survival aligns with the Naturalist focus on portraying life as it is, without romanticization.

Let's look at why the other genres are less fitting:

* **Realism:** While the poem has realistic elements, its focus on grand themes and idealized concepts makes it less strictly ""realist"" than Romantic.
* **Symbolism:** While symbolism is present (e.g., ""chains"" representing oppression), it's not the dominant force driving the poem.
* **Modernism:** This poem predates the Modernist movement. 
* **Gothic:** The poem lacks the elements of the supernatural, mystery, and horror characteristic of Gothic literature. 
* **Satire:**  The poem is earnest and sincere, not satirical.
* **Romance:** While ""love"" is mentioned, it's not the central theme or a romantic relationship being explored.
* **Drama:** This is a lyrical poem, not a dramatic work with characters and dialogue. 
* **Mystery:** There is no mystery or puzzle to be solved within the poem. 
"
Деревня,1819,Pushkin,poems,"realism, romanticism 
"
Евгений Онегин,1823,Pushkin,poems,"**Realism, Romanticism, Satire, Romance** 

Here's why:

* **Realism:**  The novel provides detailed descriptions of everyday life in both urban and rural settings. The characters face relatable issues like boredom, societal pressures, and the complexities of love.
* **Romanticism:** The work features elements like strong emotions, idealized love, and a focus on the inner world of the characters. The protagonist, Eugene Onegin, is a Byronic hero, characterized by melancholy and disillusionment.
* **Satire:**  Pushkin uses wit and irony to critique Russian society, particularly the superficiality and hypocrisy of the upper classes. The satirical tone is evident in descriptions of fashionable parties and the behavior of certain characters.
* **Romance:** The core of the story revolves around love and relationships. The novel explores the different facets of love: passionate infatuation (Tatiana for Onegin), innocent and playful love (Lensky and Olga), and the mature, complex emotions experienced by Tatiana and Onegin later. 

**The other genres are less prominent:**

* **Symbolism:** While there are some symbolic elements (like the use of the seasons), symbolism isn't a defining characteristic of the novel.
* **Modernism:** This genre emerged later and doesn't apply to Pushkin's work.
* **Gothic:** The novel lacks the elements of the supernatural, horror, and gloom that characterize the gothic genre.
* **Drama:**  While the work is structured in chapters and verse, it primarily functions as a narrative, not a play designed for the stage.
* **Mystery:**  There is no central mystery to be solved in the novel. 
* **Naturalism:** This genre emphasizes determinism and social forces shaping individuals, which is not the primary focus of ""Eugene Onegin."" 
"
