,year,genre,popularity,popularity_smoothed
0,1816,horror,,
1,1817,horror,,
2,1818,horror,,
3,1819,horror,,
4,1822,horror,0.0,
5,1824,horror,,
6,1825,horror,,
7,1826,horror,,
8,1827,horror,,
9,1828,horror,0.0,
10,1829,horror,,
11,1830,horror,12.5,
12,1831,horror,0.0,
13,1832,horror,,
14,1833,horror,9.090909090909092,
15,1834,horror,0.0,
16,1835,horror,23.076923076923077,
17,1836,horror,,
18,1838,horror,0.0,
19,1839,horror,,
20,1842,horror,,
21,1845,horror,33.33333333333333,
22,1846,horror,0.0,
23,1847,horror,0.0,
24,1848,horror,0.0,4.761904761904761
25,1852,horror,0.0,0.0
26,1853,horror,0.0,
27,1855,horror,0.0,
28,1856,horror,0.0,
29,1857,horror,,
30,1858,horror,0.0,
31,1859,horror,0.0,
32,1860,horror,0.0,
33,1861,horror,0.0,0.0
34,1862,horror,0.0,0.0
35,1864,horror,0.0,7.142857142857143
36,1865,horror,0.0,7.142857142857143
37,1869,horror,0.0,7.142857142857143
38,1873,horror,50.0,11.904761904761903
39,1876,horror,0.0,11.904761904761903
40,1877,horror,0.0,11.904761904761903
41,1880,horror,33.33333333333333,11.904761904761903
42,1881,horror,0.0,4.761904761904761
43,1882,horror,0.0,4.761904761904761
44,1883,horror,0.0,4.761904761904761
45,1884,horror,0.0,0.0
46,1885,horror,0.0,0.0
47,1886,horror,0.0,0.0
48,1887,horror,0.0,0.0
49,1889,horror,0.0,0.0
50,1890,horror,0.0,0.0
51,1891,horror,0.0,
52,1892,horror,0.0,
53,1893,horror,0.0,
54,1894,horror,,
55,1895,horror,4.761904761904762,
56,1896,horror,0.0,
57,1897,horror,11.11111111111111,
58,1898,horror,0.0,
59,1899,horror,0.0,
60,1900,horror,,
61,1901,horror,,
62,1902,horror,0.0,
63,1903,horror,18.75,
64,1904,horror,0.0,
65,1905,horror,0.0,
66,1906,horror,25.0,
67,1907,horror,,
68,1908,horror,25.0,
69,1909,horror,0.0,
70,1910,horror,0.0,
71,1911,horror,0.0,3.5714285714285716
72,1912,horror,0.0,4.761904761904761
73,1913,horror,0.0,4.761904761904761
74,1914,horror,0.0,4.761904761904761
75,1915,horror,33.33333333333333,7.359307359307359
76,1918,horror,0.0,
77,1921,horror,0.0,
78,1923,horror,18.181818181818183,
79,1816,short story,,
80,1817,short story,,
81,1818,short story,,
82,1819,short story,,
83,1822,short story,0.0,
84,1824,short story,,
85,1825,short story,,
86,1826,short story,,
87,1827,short story,,
88,1828,short story,0.0,
89,1829,short story,,
90,1830,short story,0.0,
91,1831,short story,0.0,
92,1832,short story,,
93,1833,short story,0.0,
